Overall Qual,Overall Cond,Total Bsmt SF,Central Air,Gr Liv Area,SalePrice
6,5,1080.0,1,1656,215000
5,6,882.0,1,896,105000
6,6,1329.0,1,1329,172000
7,5,2110.0,1,2110,244000
5,5,928.0,1,1629,189900
6,6,926.0,1,1604,195500
8,5,1338.0,1,1338,213500
8,5,1280.0,1,1280,191500
8,5,1595.0,1,1616,236500
7,5,994.0,1,1804,189000
6,5,763.0,1,1655,175900
6,7,1168.0,1,1187,185000
6,5,789.0,1,1465,180400
7,5,1300.0,1,1341,171500
8,5,1488.0,1,1502,212000
8,5,1650.0,1,3279,538000
8,7,559.0,1,1752,164000
9,2,1856.0,1,1856,394432
4,5,864.0,1,864,141000
6,6,1542.0,1,2073,210000
6,6,1844.0,1,1844,190000
7,6,1053.0,1,1173,170000
7,5,814.0,1,1674,216000
6,7,1004.0,1,1004,149000
5,6,1078.0,1,1078,149900
5,6,1056.0,1,1056,142000
4,5,882.0,1,882,126000
4,5,864.0,1,864,115000
7,5,1405.0,1,1337,184000
6,5,483.0,1,987,96000
5,5,525.0,1,1092,105500
6,5,525.0,1,1092,88000
6,5,1069.0,1,1069,127500
6,6,855.0,1,1456,149900
7,6,836.0,1,836,120000
6,5,855.0,1,1456,146000
9,5,1590.0,1,2334,376162
8,5,1704.0,1,1704,306000
9,5,1930.0,1,1940,395192
8,5,1544.0,1,1544,290941
7,5,1541.0,1,1541,220000
9,5,1698.0,1,1698,275000
8,5,1822.0,1,1822,259000
7,5,1517.0,1,1535,214000
9,5,2330.0,1,2364,611657
7,5,1358.0,1,1358,224000
9,5,2846.0,1,2696,500000
8,5,1671.0,1,2250,320000
9,5,1752.0,1,1752,319900
8,5,1370.0,1,1370,205000
7,5,764.0,1,1626,175500
6,5,1324.0,1,1324,199500
7,5,1145.0,1,1145,160000
8,5,1256.0,1,1269,192000
7,5,384.0,1,1374,184500
6,5,860.0,1,1960,216500
7,5,847.0,1,1733,185088
7,5,384.0,1,1430,180000
7,5,884.0,1,2035,222500
9,5,1393.0,1,2599,333168
8,5,1629.0,1,2475,355000
7,5,1720.0,1,1720,260400
8,5,1463.0,1,2622,325000
8,7,1152.0,1,2270,290000
7,5,1195.0,1,1839,221000
8,5,2033.0,1,3238,410000
8,5,1595.0,1,1595,221500
7,5,1218.0,1,1218,204500
7,5,756.0,1,1547,215200
8,5,1566.0,1,1566,262500
7,5,991.0,1,1947,254900
6,5,1468.0,1,1468,271500
7,5,956.0,1,2084,233000
7,5,831.0,1,1659,181000
7,5,948.0,1,2110,205000
6,5,923.0,1,923,143000
6,5,1055.0,1,1845,189000
6,5,918.0,1,918,99500
6,5,744.0,1,752,125000
7,7,996.0,1,1744,194500
6,5,1040.0,1,1097,152000
6,6,650.0,1,1564,171000
5,5,816.0,0,1012,67500
6,5,0.0,1,1902,112000
5,7,1109.0,1,1155,148000
5,8,894.0,1,894,138500
5,5,882.0,1,900,122000
5,5,1040.0,1,1040,133000
5,8,1040.0,1,1040,127000
6,6,1208.0,1,1494,169000
7,5,750.0,1,1923,190000
8,5,1231.0,1,2349,362500
8,5,1390.0,1,2225,285000
7,5,1488.0,1,1488,260000
7,5,840.0,1,1680,190000
7,5,600.0,1,1200,155000
7,5,600.0,1,1200,151000
7,5,600.0,1,1200,149500
6,5,600.0,1,1236,152000
7,5,1470.0,1,1478,222000
6,5,756.0,1,1573,177500
6,5,756.0,1,1512,177000
7,5,696.0,1,1416,155000
7,5,530.0,1,1080,147110
8,5,1642.0,1,1418,267916
8,5,975.0,1,1848,254000
8,5,728.0,1,788,155000
8,6,1226.0,1,1226,206000
6,8,725.0,1,1479,130500
7,5,1492.0,1,1492,230000
6,6,1829.0,1,1829,218500
6,5,1280.0,1,2495,243500
6,7,1610.0,1,1610,205000
6,5,1224.0,1,1891,212500
7,5,980.0,1,1714,196500
6,7,1161.0,1,1381,197500
6,6,715.0,1,1645,171000
5,5,1232.0,1,1232,142250
6,5,1328.0,1,1328,143000
4,5,950.0,1,1225,128950
5,5,1209.0,1,1209,159000
5,6,1510.0,1,1510,178900
6,5,533.0,1,1775,136300
5,7,1152.0,1,1152,180500
6,7,936.0,1,1054,137500
5,6,1728.0,1,1728,84900
5,6,1078.0,1,1078,142125
5,7,1140.0,1,2461,197600
6,6,782.0,1,1556,172500
5,7,858.0,1,858,116500
3,2,728.0,1,1306,76500
5,5,1056.0,1,1063,128000
6,6,1156.0,1,1520,153000
5,6,1268.0,1,1268,132000
6,8,1080.0,1,1128,178000
5,5,1105.0,1,2274,154300
7,5,1947.0,1,2207,180000
6,6,1517.0,1,1888,190000
5,5,1604.0,1,1604,135000
7,5,1480.0,1,1480,214000
5,5,1143.0,1,1143,136000
5,5,1398.0,1,1700,165500
5,6,1314.0,1,1314,145000
6,6,1194.0,1,1194,148000
5,5,1188.0,1,1188,142000
5,5,1268.0,1,1264,167500
5,5,1206.0,1,1206,108538
6,5,1244.0,1,1580,159500
4,5,832.0,1,1337,108000
5,7,864.0,1,1064,135000
5,6,972.0,1,972,122500
5,5,988.0,1,988,119000
5,7,1057.0,1,1057,109000
4,7,576.0,1,985,105000
5,7,0.0,1,827,107500
5,7,1086.0,1,1086,144900
5,7,936.0,1,936,129000
6,5,912.0,1,1458,97500
6,5,1056.0,1,1056,144000
5,7,1063.0,1,1287,162000
7,7,710.0,1,2978,242000
6,8,816.0,1,1224,132000
5,7,1246.0,1,1246,154000
5,4,910.0,1,1385,166000
5,7,900.0,1,900,134800
6,6,1116.0,1,1116,160000
5,6,1175.0,1,1175,148000
6,7,1395.0,1,1395,192000
6,5,756.0,1,1839,155000
4,5,709.0,1,1844,80400
4,7,576.0,1,1140,96500
5,7,936.0,1,936,109500
5,6,1008.0,1,1028,115000
5,7,1347.0,1,1347,143000
3,6,840.0,0,1605,107400
4,6,747.0,1,747,80000
5,7,788.0,1,804,119000
5,7,926.0,1,1316,130000
6,7,827.0,1,1251,119000
5,7,1027.0,1,1633,129000
5,6,1008.0,1,1245,100000
2,2,678.0,0,832,12789
6,8,624.0,1,720,105900
8,9,930.0,0,1566,150000
5,6,686.0,1,1652,139000
8,9,346.0,1,2268,240000
5,3,840.0,0,2256,76500
6,7,912.0,1,1236,149700
4,7,622.0,1,1363,125500
4,6,777.0,1,2290,122500
6,7,738.0,1,1470,140750
5,6,988.0,1,1612,128500
7,7,1108.0,0,2068,209500
4,7,765.0,0,765,87000
6,7,608.0,1,1132,134000
6,6,572.0,1,1196,128000
5,6,835.0,1,1453,132000
6,7,780.0,1,1416,139900
5,7,528.0,1,1040,123900
5,5,928.0,1,1536,138400
6,5,1124.0,1,1068,109500
7,6,576.0,1,1710,140000
4,5,888.0,1,1962,149500
6,8,780.0,1,1560,159900
6,8,662.0,1,1324,122000
5,5,816.0,0,816,110000
4,5,0.0,0,1092,55000
5,9,360.0,1,1812,140000
7,7,1032.0,1,2403,244400
5,5,1422.0,1,1675,173000
5,3,689.0,0,1224,107500
5,4,1212.0,0,1392,100000
6,5,600.0,0,919,95000
4,1,707.0,0,1884,93369
5,7,856.0,1,1680,114900
5,8,780.0,0,1020,94000
4,3,1832.0,0,1832,136000
4,5,1768.0,0,1768,136500
5,4,1039.0,1,1039,131500
5,6,1392.0,1,1392,121500
5,5,912.0,1,912,125000
5,8,1060.0,1,1060,154000
5,7,864.0,1,892,137900
6,7,663.0,1,1352,158000
5,5,864.0,1,864,137250
5,5,1319.0,1,1373,160250
5,5,720.0,1,1440,163000
6,5,672.0,1,1386,158900
7,5,1306.0,1,2260,328000
7,7,1420.0,1,1483,270000
4,4,660.0,0,756,85000
4,7,1067.0,1,1067,128000
7,6,1332.0,1,1524,260000
6,5,1117.0,1,1981,230000
3,4,972.0,1,1610,124000
5,5,458.0,0,835,83000
6,7,663.0,1,1074,144500
5,6,1144.0,1,1144,129000
4,6,756.0,1,1531,127000
5,7,1172.0,1,1172,128000
6,5,1212.0,1,1212,186000
7,5,1508.0,1,1508,308030
5,3,1250.0,1,1298,114000
4,7,0.0,1,930,84900
6,5,741.0,1,1732,178000
7,5,1433.0,1,1433,270000
6,7,946.0,1,1802,218000
7,5,1050.0,1,1949,236000
6,6,936.0,1,996,147000
8,5,1694.0,1,1694,245350
7,5,1187.0,1,1208,206000
7,5,1226.0,1,1226,198900
7,5,1222.0,1,1222,187000
7,5,1673.0,1,3222,320000
6,8,676.0,1,1445,138500
6,7,1010.0,1,1052,155000
5,5,870.0,1,965,159000
7,5,878.0,1,1692,191000
6,5,804.0,1,1682,200500
5,8,1026.0,1,1026,150000
6,7,689.0,1,1392,161750
5,6,894.0,1,894,128200
5,6,876.0,1,876,127000
8,5,1978.0,1,1978,318000
8,5,1581.0,1,1601,272000
7,6,941.0,1,1829,237000
7,5,1040.0,1,2098,240000
7,5,1649.0,1,1661,224900
6,5,848.0,1,848,143750
6,5,848.0,1,848,143000
8,5,1657.0,1,1668,232000
7,5,1473.0,1,1484,213000
7,5,1414.0,1,1414,185500
3,6,0.0,0,640,84900
5,6,381.0,1,992,155891
5,5,0.0,0,1664,100000
5,6,1196.0,1,1196,144000
4,5,744.0,0,1120,64000
6,6,1008.0,1,1096,125200
6,5,1029.0,1,1117,107000
4,5,960.0,1,960,90000
4,5,1121.0,1,1121,140000
6,4,735.0,1,1487,113000
4,4,672.0,0,924,80000
5,6,1216.0,1,1526,144500
5,6,1107.0,0,1296,104000
6,4,806.0,0,1647,128000
3,3,864.0,0,864,58500
5,6,1026.0,1,1691,127000
6,6,856.0,1,856,126000
4,6,0.0,1,2650,160000
5,2,894.0,1,1666,100000
6,7,804.0,1,2447,169000
7,6,1528.0,1,2133,257500
5,6,1032.0,1,2177,215000
7,9,1152.0,1,2340,266500
7,8,1902.0,1,1902,335000
7,6,423.0,1,1652,203135
8,6,982.0,1,1034,185000
8,5,1191.0,1,1191,162500
7,8,1501.0,1,1801,289000
4,8,796.0,1,1154,125500
2,5,480.0,1,540,82000
6,5,629.0,1,1107,110000
4,4,698.0,1,1128,68400
4,7,859.0,1,1178,102776
5,5,540.0,0,1044,55993
4,7,756.0,1,952,50138
8,5,1594.0,1,1646,246000
8,5,1049.0,1,1916,254900
6,7,1243.0,1,1285,190000
7,5,1560.0,1,1560,201000
6,5,1012.0,1,1034,169900
6,5,1958.0,1,2048,170000
5,5,747.0,1,1687,160000
7,5,1336.0,1,1346,220000
7,5,1214.0,1,1214,179781
5,5,384.0,1,1444,174000
8,5,774.0,1,1968,269500
7,5,817.0,1,1894,214900
8,5,967.0,1,1908,202900
9,5,2002.0,1,2018,378500
5,5,1068.0,1,1264,169000
5,5,1430.0,1,1430,173500
6,5,912.0,1,1824,139000
5,5,1344.0,1,1344,166500
4,5,546.0,1,1092,83500
5,6,945.0,1,945,119500
5,3,536.0,1,1112,85000
4,7,546.0,1,1092,76000
4,6,630.0,1,630,75500
4,4,546.0,1,1092,88250
4,6,546.0,1,1092,85500
5,7,864.0,1,874,130000
5,7,1188.0,1,1188,157900
5,7,833.0,1,833,149900
5,2,1216.0,1,2432,159000
5,5,624.0,1,1274,136000
5,5,864.0,1,1479,161000
8,5,1679.0,1,1803,285000
6,5,1152.0,1,1797,231000
6,5,882.0,1,882,124500
6,5,1434.0,1,1434,157000
8,7,1952.0,1,2704,345000
6,5,945.0,1,1608,189500
8,5,1008.0,1,2283,270000
7,5,384.0,1,1628,189000
9,5,1746.0,1,1746,377500
7,5,384.0,1,1474,168500
8,5,2208.0,1,2522,375000
8,5,1501.0,1,1659,278000
8,5,1418.0,1,1478,240000
8,5,1587.0,1,1734,239500
7,5,384.0,1,1382,177500
7,5,832.0,1,1718,185000
6,5,952.0,1,1636,191000
6,7,799.0,1,1571,178000
6,8,680.0,1,1470,185000
6,5,707.0,1,1516,181316
6,5,1181.0,1,1190,166000
6,5,808.0,1,1593,178000
6,5,702.0,1,1481,174000
6,6,1158.0,1,1167,173000
7,5,978.0,1,1983,225000
7,5,1424.0,1,1442,180500
8,5,1220.0,1,1360,187500
9,5,2216.0,1,2234,501837
8,5,2046.0,1,2046,372500
7,5,1530.0,1,1530,260000
5,6,1122.0,1,1934,185000
7,7,845.0,1,2353,260000
6,5,1362.0,1,1586,181000
7,5,1386.0,1,1411,82500
6,7,1602.0,1,1602,215000
7,6,832.0,1,2050,154000
6,6,1427.0,1,1671,200000
7,7,1043.0,1,2673,249000
7,5,1372.0,1,1472,187500
6,5,1140.0,1,1707,184000
8,5,2524.0,1,2524,278000
7,5,1271.0,1,1601,157000
7,5,1090.0,1,1370,152000
5,7,780.0,1,1868,197500
7,5,926.0,1,1884,240900
8,5,832.0,1,1935,263435
8,5,1058.0,1,1874,220000
8,5,972.0,1,1811,235000
5,7,1621.0,1,1621,213000
6,6,1116.0,1,1116,167900
7,5,1176.0,1,1193,158000
6,5,1064.0,1,1350,165000
6,6,689.0,1,2119,158000
5,5,896.0,1,1792,136000
5,6,1002.0,1,1002,148500
6,8,1026.0,1,1026,156000
5,5,1180.0,1,1180,128000
5,7,1043.0,1,1050,143000
4,6,864.0,1,864,76500
4,6,864.0,1,864,120500
4,7,864.0,1,864,124500
4,6,864.0,1,864,97000
4,7,864.0,1,864,130000
6,5,483.0,1,987,111000
5,6,765.0,1,1365,125000
5,5,630.0,1,1302,112000
6,6,483.0,1,987,97000
6,8,483.0,1,987,118000
5,7,630.0,1,1302,119500
6,6,958.0,1,958,143750
6,5,804.0,1,1548,146000
6,6,855.0,1,1456,148500
7,5,1057.0,1,1055,123000
6,5,855.0,1,1322,147000
6,5,855.0,1,1456,137900
6,5,804.0,1,1548,147000
6,6,855.0,1,1441,148500
6,5,855.0,1,1456,138000
7,6,836.0,1,836,128500
5,5,892.0,1,892,100000
5,7,864.0,1,1120,148800
10,5,1700.0,1,1718,337500
9,5,1776.0,1,2772,462000
9,5,1926.0,1,3140,485000
10,5,3094.0,1,2402,555000
9,5,1652.0,1,1652,325000
8,5,1566.0,1,1600,256300
8,5,2042.0,1,2042,253293
9,5,1365.0,1,2690,398800
9,5,1104.0,1,2184,335000
9,5,2020.0,1,2020,404000
10,5,2006.0,1,2020,402861
10,5,1722.0,1,2296,451950
10,5,2630.0,1,2674,610000
9,5,1734.0,1,2822,582933
9,5,1736.0,1,1736,360000
8,5,1782.0,1,1782,296000
8,5,1508.0,1,2520,409900
8,5,1709.0,1,1717,255500
9,5,1739.0,1,1743,335000
8,5,1713.0,1,1713,274900
9,5,1504.0,1,1531,300000
9,5,1774.0,1,1808,324000
9,5,1462.0,1,2224,350000
8,5,1836.0,1,1836,280000
8,5,3206.0,1,1629,284000
7,5,1760.0,1,1760,269500
7,5,1502.0,1,1502,233170
10,5,2392.0,1,2392,386250
9,5,2452.0,1,2452,445000
8,5,1082.0,1,2400,290000
8,5,1598.0,1,1606,255900
6,5,1358.0,1,1358,213000
6,5,1306.0,1,1306,196000
6,5,1306.0,1,1306,184500
7,5,1350.0,1,1358,212500
7,5,1314.0,1,1314,230000
10,5,2492.0,1,2492,552000
8,5,2200.0,1,2200,382500
9,5,1884.0,1,1884,320000
9,5,1451.0,1,1456,248500
8,5,1712.0,1,1712,286500
8,5,1324.0,1,1324,254000
7,5,1405.0,1,1405,173000
7,5,764.0,1,1626,173000
7,5,728.0,1,1456,184000
6,5,745.0,1,1490,167800
6,5,742.0,1,1484,174000
6,5,684.0,1,1560,174000
7,5,1373.0,1,1555,174000
7,5,1386.0,1,1569,175900
7,5,1373.0,1,1555,192500
7,5,1346.0,1,1504,181000
7,5,1220.0,1,1220,180000
7,5,1145.0,1,1145,160200
7,5,716.0,1,1432,188500
6,5,1010.0,1,2267,200000
7,5,384.0,1,1374,170000
7,5,868.0,1,1630,189500
8,5,408.0,1,1419,184100
7,5,846.0,1,1594,195500
7,5,782.0,1,1489,192000
7,5,698.0,1,1342,178000
7,5,1314.0,1,1314,207500
7,5,952.0,1,2256,236000
8,5,870.0,1,2004,257500
6,5,992.0,1,2054,244000
7,5,384.0,1,1374,167000
6,5,982.0,1,1800,179000
6,5,794.0,1,1514,190000
7,5,384.0,1,1430,156000
7,5,1177.0,1,2312,245000
6,5,841.0,1,1675,181000
7,5,992.0,1,2060,214000
7,6,384.0,1,1430,168000
8,5,1252.0,1,2365,337000
8,5,1462.0,1,2794,403000
8,5,1455.0,1,2687,327000
8,5,1284.0,1,2450,340000
8,5,1225.0,1,2612,336000
7,5,1264.0,1,2344,265000
8,5,2024.0,1,2063,315000
7,5,1347.0,1,2646,260000
7,5,1070.0,1,2061,260000
8,5,1173.0,1,2232,263550
8,7,1629.0,1,2448,402000
7,6,973.0,1,1850,248000
8,5,1468.0,1,1468,244600
8,5,1696.0,1,1696,275000
8,5,1614.0,1,1658,257500
8,5,1573.0,1,1578,287090
8,5,1702.0,1,1702,275500
8,5,1422.0,1,1432,245000
7,5,1113.0,1,1971,253000
9,5,2458.0,1,2490,468000
7,5,900.0,1,1852,252678
8,5,768.0,1,1590,210000
6,5,1218.0,1,1218,208300
7,5,1436.0,1,1436,225000
8,5,1300.0,1,1314,229456
7,5,1402.0,1,1402,229800
9,5,1530.0,1,1530,250000
9,5,1766.0,1,1766,370878
8,5,1372.0,1,1448,238500
10,5,1017.0,1,2007,310000
8,5,900.0,1,1795,270000
8,5,1082.0,1,1953,252000
7,5,1092.0,1,1550,241000
8,5,1836.0,1,1836,264500
7,5,1652.0,1,1662,291000
7,5,912.0,1,2094,263000
7,5,1221.0,1,1221,185000
7,5,1553.0,1,1553,234500
7,5,812.0,1,1653,209000
7,6,1218.0,1,1218,159000
7,5,1141.0,1,1141,152000
6,5,1158.0,1,1158,143500
7,5,835.0,1,1812,193000
8,5,1512.0,1,1512,203000
7,5,1176.0,1,1200,184900
7,5,1114.0,1,1114,159000
5,5,1114.0,1,1114,142000
5,5,1114.0,1,1114,153000
7,5,1450.0,1,1450,224243
7,5,913.0,1,2122,220000
8,5,1844.0,1,1844,257000
7,5,1454.0,1,1434,189000
6,6,816.0,1,1730,171500
6,6,626.0,1,1217,120000
6,5,1332.0,1,1332,145000
7,5,754.0,1,1540,184000
6,7,676.0,1,1400,162000
6,7,0.0,1,1882,160000
4,4,721.0,1,841,82000
6,3,784.0,0,784,76000
5,5,980.0,1,980,110000
5,6,980.0,1,980,135000
5,6,864.0,1,864,141000
5,5,864.0,1,864,122000
5,5,1024.0,1,1020,124100
5,8,912.0,1,912,129000
5,6,864.0,1,1144,131400
5,5,864.0,1,864,62383
5,6,912.0,1,912,123000
8,8,2014.0,1,2014,275000
7,8,975.0,1,1755,235000
7,5,1376.0,1,3005,280750
6,5,612.0,1,1224,164500
6,5,612.0,1,1224,173733
6,5,1726.0,1,1726,222000
6,5,1145.0,1,1256,195000
6,5,729.0,1,1471,172500
6,5,756.0,1,1512,180000
7,5,691.0,1,1452,156000
8,5,970.0,1,1739,172500
8,9,1694.0,1,1694,318750
8,5,1226.0,1,1226,211500
7,5,1740.0,1,1740,241600
8,5,392.0,1,2499,180500
4,4,1281.0,1,1620,150000
6,6,727.0,1,1556,154000
6,6,1442.0,1,1442,185000
6,7,1489.0,1,1489,185750
7,6,1107.0,1,2090,200000
7,6,752.0,1,2067,206000
6,6,723.0,1,1395,162000
6,7,932.0,1,2640,256900
6,5,1680.0,1,1724,197900
5,5,1288.0,1,1336,163000
6,5,1216.0,1,1216,113000
7,7,908.0,1,2288,230000
6,5,1350.0,1,1334,167900
7,5,1650.0,1,1680,213250
8,6,810.0,1,1665,227000
5,6,864.0,1,864,130000
5,5,1568.0,1,1568,143000
5,6,925.0,1,925,117500
7,5,1165.0,1,2061,168500
6,5,1232.0,1,1320,172500
6,5,1372.0,1,1342,161500
4,7,894.0,1,894,141500
5,7,864.0,1,864,118000
6,6,864.0,1,864,127500
4,5,1040.0,1,1362,140000
5,6,1048.0,1,1728,177625
5,5,1584.0,1,1776,110000
6,6,1516.0,1,1516,167000
5,6,1313.0,1,1313,153000
5,5,1292.0,1,1292,145100
5,6,1154.0,1,1154,154000
5,6,744.0,1,2140,177500
6,6,1127.0,1,1445,158000
5,6,1041.0,1,1041,124500
6,6,1208.0,1,1576,174500
5,5,960.0,1,960,122000
4,7,420.0,1,708,82500
5,4,709.0,1,1203,110000
6,4,1505.0,1,1505,149500
6,5,1680.0,1,1691,175000
6,5,1416.0,1,1644,167000
5,6,1050.0,1,1050,128900
6,8,856.0,1,1668,140000
5,7,1113.0,1,1113,147000
5,5,1584.0,1,1584,124000
6,6,1453.0,1,1453,187500
6,5,1394.0,1,1394,159000
6,8,1562.0,1,1567,256000
7,6,768.0,1,1986,205000
6,6,896.0,1,2142,193500
6,3,1392.0,1,1392,110000
4,4,715.0,1,1738,104900
5,7,1169.0,1,1144,150000
6,3,1478.0,1,1478,156500
7,6,1329.0,1,1329,176000
6,8,988.0,1,988,149500
6,6,1240.0,1,1632,139000
6,7,1215.0,1,1215,155000
5,5,1202.0,1,1202,120000
5,5,1382.0,1,1382,153000
4,5,1200.0,1,1200,144000
6,5,1362.0,1,1382,176000
5,6,1297.0,1,1297,153000
5,4,1866.0,1,1866,135000
6,7,1062.0,1,1062,131000
5,6,608.0,1,1319,123000
5,5,631.0,1,1112,126000
4,5,1005.0,1,1005,115000
5,7,1008.0,1,1363,164900
5,6,793.0,1,793,113000
5,8,1031.0,1,1031,145500
5,5,0.0,1,1210,102900
3,5,978.0,1,1699,95000
7,7,699.0,1,1527,152500
5,6,1200.0,1,1200,129900
6,6,972.0,1,972,132000
3,5,792.0,1,792,99900
5,7,660.0,1,1656,135000
5,7,676.0,1,1352,149000
4,8,405.0,1,1039,114000
5,8,768.0,1,792,109500
5,7,1054.0,1,1078,125000
4,5,1313.0,1,2377,142900
7,9,560.0,1,1690,156500
2,5,416.0,0,599,59000
4,6,840.0,1,1374,105000
5,7,720.0,0,846,106000
3,5,630.0,1,725,78500
6,5,1248.0,1,2544,190000
6,7,1380.0,1,1380,154000
6,4,1040.0,1,1040,163000
5,5,1248.0,1,2634,200000
6,9,951.0,1,951,143500
6,6,1105.0,1,1105,135000
5,7,992.0,1,1306,153000
6,5,1478.0,1,1478,157500
6,6,160.0,1,1142,113500
5,7,832.0,1,1268,133000
3,4,0.0,0,1040,92900
6,5,795.0,0,1133,128500
4,5,0.0,0,1040,90000
5,4,1208.0,1,1904,138000
5,6,1041.0,1,1041,128000
5,6,1029.0,1,1339,139000
5,7,732.0,1,732,118900
5,5,528.0,1,1183,138000
5,5,1148.0,1,1148,132500
4,7,832.0,1,1461,133500
6,7,864.0,1,1495,135000
6,5,780.0,1,1806,144750
5,7,941.0,1,941,145000
6,6,1045.0,1,1045,127000
5,5,894.0,0,894,109500
6,8,818.0,1,1224,115000
5,6,440.0,1,1230,110000
6,8,901.0,1,1378,128900
6,5,972.0,0,1944,103500
5,6,676.0,1,1131,66500
5,8,240.0,1,1306,130000
5,8,504.0,1,1464,129000
5,6,690.0,1,1558,150000
5,4,994.0,0,2372,107500
4,6,600.0,0,1701,94550
5,5,960.0,1,1960,124500
7,8,651.0,1,1389,135000
5,5,801.0,0,1447,103000
4,4,936.0,0,936,93000
5,7,768.0,1,1328,129500
5,4,811.0,1,1387,93000
4,6,861.0,1,861,80000
2,4,0.0,0,612,45000
3,6,600.0,0,968,37900
5,8,190.0,1,886,91300
5,8,624.0,1,792,99500
4,5,736.0,1,1452,113000
4,4,677.0,1,1510,87500
5,7,720.0,1,1284,110000
5,5,849.0,0,2138,106000
7,7,1240.0,0,2640,265979
6,7,917.0,1,2007,160000
6,7,624.0,1,1288,119000
8,9,916.0,1,1742,168000
4,3,624.0,1,816,58500
7,9,650.0,1,1482,143000
5,4,1022.0,0,1022,85000
5,6,1088.0,1,1869,124900
6,6,972.0,1,1480,119000
6,7,741.0,1,1521,146500
4,5,720.0,0,720,34900
3,3,245.0,0,797,44000
